Epoch,Loss,Value
0,recon_loss,7012.265869140625
0,kl_loss,23.01599235534668
0,kl_loss_0,1.39812863022089
0,kl_loss_1,1.6108781218528747
0,kl_loss_2,5.842513719201088
0,kl_loss_3,1.5323910117149353
0,kl_loss_4,1.6786946296691894
0,kl_loss_5,1.0174935162067413
0,kl_loss_6,1.6532621145248414
0,kl_loss_7,3.9090598106384276
0,kl_loss_8,2.0705737352371214
0,kl_loss_9,2.3029969930648804
0,loss,7035.923486328125
0,tc_loss,4.218809986114502
0,discrim_loss,0.30724425315856935
1,recon_loss,4466.130908203125
1,kl_loss,37.31465835571289
1,kl_loss_0,3.8393439412117005
1,kl_loss_1,3.0108030080795287
1,kl_loss_2,6.081539726257324
1,kl_loss_3,2.9244519233703614
1,kl_loss_4,1.8275090456008911
1,kl_loss_5,2.006651484966278
1,kl_loss_6,1.9384962439537048
1,kl_loss_7,7.43461856842041
1,kl_loss_8,4.68746919631958
1,kl_loss_9,3.5637761116027833
1,loss,4506.0926513671875
1,tc_loss,5.732670593261719
1,discrim_loss,0.0450907863676548
2,recon_loss,3981.3023193359377
2,kl_loss,31.71524715423584
2,kl_loss_0,4.070072293281555
2,kl_loss_1,2.6986426591873167
2,kl_loss_2,4.4128787279129025
2,kl_loss_3,2.678069758415222
2,kl_loss_4,2.0781708002090453
2,kl_loss_5,1.9640061736106873
2,kl_loss_6,1.8783900022506714
2,kl_loss_7,4.811928558349609
2,kl_loss_8,3.926149296760559
2,kl_loss_9,3.196938920021057
2,loss,4016.930517578125
2,tc_loss,4.996878814697266
2,discrim_loss,0.06858541853725911
3,recon_loss,3901.9909423828126
3,kl_loss,30.25190601348877
3,kl_loss_0,3.540804719924927
3,kl_loss_1,2.619365406036377
3,kl_loss_2,3.9621614456176757
3,kl_loss_3,2.666330075263977
3,kl_loss_4,2.123433470726013
3,kl_loss_5,2.041418266296387
3,kl_loss_6,2.0092549204826353
3,kl_loss_7,4.423348712921142
3,kl_loss_8,3.698446846008301
3,kl_loss_9,3.1673417568206785
3,loss,3937.1141357421875
3,tc_loss,4.418035936355591
3,discrim_loss,0.08939858376979828
4,recon_loss,3872.4969970703123
4,kl_loss,29.50011157989502
4,kl_loss_0,3.324059557914734
4,kl_loss_1,2.5674716949462892
4,kl_loss_2,3.7824505090713503
4,kl_loss_3,2.6750160455703735
4,kl_loss_4,2.142781448364258
4,kl_loss_5,2.1065438270568846
4,kl_loss_6,2.0928213834762572
4,kl_loss_7,4.184546041488647
4,kl_loss_8,3.4980931758880613
4,kl_loss_9,3.1263276100158692
4,loss,3907.9248046875
4,tc_loss,4.172386908531189
4,discrim_loss,0.10643240138888359
5,recon_loss,3852.734912109375
5,kl_loss,29.025273895263673
5,kl_loss_0,3.234425187110901
5,kl_loss_1,2.5161584615707397
5,kl_loss_2,3.6571237325668333
5,kl_loss_3,2.693044877052307
5,kl_loss_4,2.180730438232422
5,kl_loss_5,2.1401217937469483
5,kl_loss_6,2.1275198698043822
5,kl_loss_7,4.078005409240722
5,kl_loss_8,3.330171823501587
5,kl_loss_9,3.0679726123809816
5,loss,3888.3704833984375
5,tc_loss,3.797543454170227
5,discrim_loss,0.11092661693692207
6,recon_loss,3814.011328125
6,kl_loss,28.750642204284667
6,kl_loss_0,3.0698503255844116
6,kl_loss_1,2.5073737859725953
6,kl_loss_2,3.5983733177185058
6,kl_loss_3,2.6849557876586916
6,kl_loss_4,2.208013987541199
6,kl_loss_5,2.187764048576355
6,kl_loss_6,2.1752607345581056
6,kl_loss_7,3.9537681102752686
6,kl_loss_8,3.278640079498291
6,kl_loss_9,3.0866422414779664
6,loss,3850.187109375
6,tc_loss,3.597393107414246
6,discrim_loss,0.12791312262415885
7,recon_loss,3847.79111328125
7,kl_loss,28.495795249938965
7,kl_loss_0,2.973319172859192
7,kl_loss_1,2.5021645784378053
7,kl_loss_2,3.5812577962875367
7,kl_loss_3,2.7092563629150392
7,kl_loss_4,2.2280885934829713
7,kl_loss_5,2.2138696908950806
7,kl_loss_6,2.2007061004638673
7,kl_loss_7,3.7964138746261598
7,kl_loss_8,3.2175570249557497
7,kl_loss_9,3.073162341117859
7,loss,3884.3259765625
7,tc_loss,3.378177261352539
7,discrim_loss,0.14377210140228272
8,recon_loss,3818.1004638671875
8,kl_loss,28.537896156311035
8,kl_loss_0,2.9969139814376833
8,kl_loss_1,2.5195135831832887
8,kl_loss_2,3.6033612489700317
8,kl_loss_3,2.7376959323883057
8,kl_loss_4,2.2754918813705443
8,kl_loss_5,2.2445009469985964
8,kl_loss_6,2.2290647983551026
8,kl_loss_7,3.7065483808517454
8,kl_loss_8,3.1507027626037596
8,kl_loss_9,3.0741026639938354
8,loss,3854.8765869140625
8,tc_loss,3.0487532377243043
8,discrim_loss,0.1565810739994049
9,recon_loss,3721.9471923828123
9,kl_loss,28.366393280029296
9,kl_loss_0,2.983272838592529
9,kl_loss_1,2.5154810667037966
9,kl_loss_2,3.5567144632339476
9,kl_loss_3,2.7008363962173463
9,kl_loss_4,2.297289180755615
9,kl_loss_5,2.2713815450668333
9,kl_loss_6,2.2533962965011596
9,kl_loss_7,3.592861557006836
9,kl_loss_8,3.1085471153259276
9,kl_loss_9,3.086613178253174
9,loss,3759.164599609375
9,tc_loss,2.9291368961334228
9,discrim_loss,0.1602608248591423
10,recon_loss,3835.6239990234376
10,kl_loss,28.284628486633302
10,kl_loss_0,2.9218409776687624
10,kl_loss_1,2.5649532794952394
10,kl_loss_2,3.589833664894104
10,kl_loss_3,2.6926265239715574
