Epoch,Loss,Value
0,recon_loss,3625.2429931640627
0,kl_loss,36.11250877380371
0,kl_loss_0,3.430834400653839
0,kl_loss_1,3.5165858626365663
0,kl_loss_2,3.8979282855987547
0,kl_loss_3,3.5045588850975036
0,kl_loss_4,3.7158911347389223
0,kl_loss_5,3.2011351466178892
0,kl_loss_6,3.4663839459419252
0,kl_loss_7,3.7405455708503723
0,kl_loss_8,4.0410288095474245
0,kl_loss_9,3.5976173162460325
0,loss,3632.0056640625
1,recon_loss,3623.115368652344
1,kl_loss,31.59289617538452
1,kl_loss_0,2.9812441945075987
1,kl_loss_1,3.0548564553260804
1,kl_loss_2,3.459452450275421
1,kl_loss_3,3.0803946018218995
1,kl_loss_4,3.2414515256881713
1,kl_loss_5,2.7701881408691404
1,kl_loss_6,3.007476341724396
1,kl_loss_7,3.2936721444129944
1,kl_loss_8,3.547482097148895
1,kl_loss_9,3.1566779255867004
1,loss,3641.6521240234374
2,recon_loss,3601.3209228515625
2,kl_loss,28.968423271179198
2,kl_loss_0,2.7272812962532043
2,kl_loss_1,2.7935518980026246
2,kl_loss_2,3.1913473844528197
2,kl_loss_3,2.8144418239593505
2,kl_loss_4,2.9773143887519837
2,kl_loss_5,2.507599353790283
2,kl_loss_6,2.7716607332229612
2,kl_loss_7,3.0210250496864317
2,kl_loss_8,3.2781002640724184
2,kl_loss_9,2.8861011385917665
2,loss,3629.9587280273436
3,recon_loss,3598.6280151367187
3,kl_loss,27.278576564788818
3,kl_loss_0,2.549216866493225
3,kl_loss_1,2.6354312539100646
3,kl_loss_2,3.0287315964698793
3,kl_loss_3,2.642855679988861
3,kl_loss_4,2.79837406873703
3,kl_loss_5,2.353362166881561
3,kl_loss_6,2.583777117729187
3,kl_loss_7,2.8644988179206847
3,kl_loss_8,3.09158079624176
3,kl_loss_9,2.730747735500336
3,loss,3636.5061767578127
4,recon_loss,3600.51787109375
4,kl_loss,25.826079845428467
4,kl_loss_0,2.422128474712372
4,kl_loss_1,2.486736524105072
4,kl_loss_2,2.8787769198417665
4,kl_loss_3,2.5061771392822267
4,kl_loss_4,2.6403315901756286
4,kl_loss_5,2.20251487493515
4,kl_loss_6,2.4504406332969664
4,kl_loss_7,2.6985992312431337
4,kl_loss_8,2.968208980560303
4,kl_loss_9,2.5721654891967773
4,loss,3646.696240234375
5,recon_loss,3611.1125616776317
5,kl_loss,24.808107777645713
5,kl_loss_0,2.3150016257637427
5,kl_loss_1,2.357516276208978
5,kl_loss_2,2.7835871294925085
5,kl_loss_3,2.402209946983739
5,kl_loss_4,2.5655063578957007
5,kl_loss_5,2.0813537271399247
5,kl_loss_6,2.347640928469206
5,kl_loss_7,2.6134152161447624
5,kl_loss_8,2.85688012524655
5,kl_loss_9,2.4849963062687923
5,loss,3665.1816663240133
6,recon_loss,3619.3135009765624
6,kl_loss,23.78220729827881
6,kl_loss_0,2.1931551098823547
6,kl_loss_1,2.281038558483124
6,kl_loss_2,2.68924081325531
6,kl_loss_3,2.2910056114196777
6,kl_loss_4,2.441984987258911
6,kl_loss_5,1.9893779575824737
6,kl_loss_6,2.2596914052963255
6,kl_loss_7,2.5038028717041017
6,kl_loss_8,2.7599516034126284
6,kl_loss_9,2.3729581952095034
6,loss,3680.4050048828126
