Epoch,Loss,Value
0,recon_loss,4146.924798583985
0,kl_loss,44.758354377746585
0,kl_loss_0,3.313877257332206
0,kl_loss_1,4.256263798475265
0,kl_loss_2,5.409132362902165
0,kl_loss_3,4.299409422278404
0,kl_loss_4,5.4270756945014
0,kl_loss_5,3.8133576840162275
0,kl_loss_6,2.942149305343628
0,kl_loss_7,6.171565026044846
0,kl_loss_8,5.315774091333151
0,kl_loss_9,3.8097497284412385
0,loss,4161.518585205078
1,recon_loss,3730.3962463378907
1,kl_loss,28.40902543067932
1,kl_loss_0,2.4963291704654695
1,kl_loss_1,2.7072406649589538
1,kl_loss_2,3.2508867979049683
1,kl_loss_3,2.7651087403297425
1,kl_loss_4,3.10111802816391
1,kl_loss_5,2.5218002438545226
1,kl_loss_6,2.46617728471756
1,kl_loss_7,3.0971826136112215
1,kl_loss_8,3.1827742576599123
1,kl_loss_9,2.8204076886177063
1,loss,3763.9189208984376
2,recon_loss,3686.8597944210737
2,kl_loss,24.893370408278244
2,kl_loss_0,2.219971687365801
2,kl_loss_1,2.378555034979796
2,kl_loss_2,2.868195111934955
2,kl_loss_3,2.429730476477207
2,kl_loss_4,2.6933508591774182
2,kl_loss_5,2.12766838990725
2,kl_loss_6,2.2130535137959018
2,kl_loss_7,2.662724880071787
2,kl_loss_8,2.8219029842278895
2,kl_loss_9,2.4782175161899667
2,loss,3736.024257562099
3,recon_loss,3661.9583435058594
3,kl_loss,22.82373790740967
3,kl_loss_0,2.0353874534368517
3,kl_loss_1,2.164129251241684
3,kl_loss_2,2.643495833873749
3,kl_loss_3,2.2300140142440794
3,kl_loss_4,2.4410994231700895
3,kl_loss_5,1.9245288908481597
3,kl_loss_6,2.0683905512094496
3,kl_loss_7,2.4143448054790495
3,kl_loss_8,2.6295819878578186
3,kl_loss_9,2.272765803337097
3,loss,3725.0437927246094
4,recon_loss,3691.9725830078123
4,kl_loss,21.216511249542236
4,kl_loss_0,1.924090537428856
4,kl_loss_1,2.0178923517465592
4,kl_loss_2,2.4740947008132936
4,kl_loss_3,2.0572539299726484
4,kl_loss_4,2.2405455470085145
4,kl_loss_5,1.7284112602472306
4,kl_loss_6,1.94152951836586
4,kl_loss_7,2.2575971126556396
4,kl_loss_8,2.481461799144745
4,kl_loss_9,2.093634641170502
4,loss,3767.6236083984377
