Epoch,Loss,Value
0,recon_loss,6965.8941650390625
0,loss,6777.75244140625
0,mi_loss,55.17213249206543
0,tc_loss,-40.58323359489441
0,dw_kl_loss,5.2096894681453705
0,kl_loss,19.837264120578766
0,kl_loss_0,1.3051524213515222
0,kl_loss_1,1.5673600360751152
0,kl_loss_2,1.6934876358136535
0,kl_loss_3,2.6136931851506233
0,kl_loss_4,1.4310319069772959
0,kl_loss_5,1.373817689716816
0,kl_loss_6,2.5390686318278313
0,kl_loss_7,1.307240765541792
0,kl_loss_8,4.7306040320545435
0,kl_loss_9,1.2758075818419456
1,recon_loss,6689.190734863281
1,loss,6516.745452880859
1,mi_loss,55.63415455818176
1,tc_loss,-38.078179121017456
1,dw_kl_loss,3.3713623136281967
1,kl_loss,20.89016556739807
1,kl_loss_0,1.6429124772548676
1,kl_loss_1,1.8034824430942535
1,kl_loss_2,1.9128355160355568
1,kl_loss_3,2.614051327109337
1,kl_loss_4,1.596392773091793
1,kl_loss_5,1.7475236430764198
1,kl_loss_6,2.2901567965745926
1,kl_loss_7,1.5727729946374893
1,kl_loss_8,4.092497006058693
1,kl_loss_9,1.61754060536623
2,recon_loss,6608.794128417969
2,loss,6438.238922119141
2,mi_loss,55.58821749687195
2,tc_loss,-37.78163266181946
2,dw_kl_loss,2.7749890983104706
2,kl_loss,20.552355766296387
2,kl_loss_0,1.6999669596552849
2,kl_loss_1,1.820437066257
2,kl_loss_2,1.9623123481869698
2,kl_loss_3,2.4838392585515976
2,kl_loss_4,1.6277669444680214
2,kl_loss_5,1.762890562415123
2,kl_loss_6,2.217563286423683
2,kl_loss_7,1.5918837487697601
2,kl_loss_8,3.7320799082517624
2,kl_loss_9,1.6536160036921501
3,recon_loss,6638.202606201172
3,loss,6468.900329589844
3,mi_loss,55.65734362602234
3,tc_loss,-37.591933250427246
3,dw_kl_loss,2.1448548436164856
3,kl_loss,20.22827386856079
3,kl_loss_0,1.659476324915886
3,kl_loss_1,1.821636214852333
3,kl_loss_2,1.966970533132553
3,kl_loss_3,2.4376765340566635
3,kl_loss_4,1.6496997028589249
3,kl_loss_5,1.8050576820969582
3,kl_loss_6,2.2022586166858673
3,kl_loss_7,1.5747667774558067
3,kl_loss_8,3.4283308535814285
3,kl_loss_9,1.6824005097150803
4,recon_loss,6614.947113037109
4,loss,6446.430725097656
4,mi_loss,55.61470055580139
4,tc_loss,-37.464810609817505
4,dw_kl_loss,1.8484030440449715
4,kl_loss,19.975975275039673
4,kl_loss_0,1.6827593371272087
4,kl_loss_1,1.7930640429258347
4,kl_loss_2,1.9685274586081505
4,kl_loss_3,2.3828169107437134
4,kl_loss_4,1.6363131776452065
4,kl_loss_5,1.7824766337871552
4,kl_loss_6,2.1434847116470337
4,kl_loss_7,1.5498562678694725
4,kl_loss_8,3.3810213208198547
4,kl_loss_9,1.6556555032730103
