Epoch,Loss,Value
0,recon_loss,4220.769500732422
0,loss,4011.972589111328
0,mi_loss,54.85438632965088
0,tc_loss,-44.32606811523438
0,dw_kl_loss,30.992319297790527
0,kl_loss,41.56371021270752
0,kl_loss_0,1.1453190382570029
0,kl_loss_1,14.109256464242936
0,kl_loss_2,0.7855063274502754
0,kl_loss_3,3.4190895438194273
0,kl_loss_4,1.4406929805874824
0,kl_loss_5,0.9962157428264617
0,kl_loss_6,0.8014180943369865
0,kl_loss_7,5.780149495601654
0,kl_loss_8,12.277878107875585
0,kl_loss_9,0.8081843763589859
1,recon_loss,3799.721826171875
1,loss,3602.4939880371094
1,mi_loss,55.344233703613284
1,tc_loss,-42.56630249023438
1,dw_kl_loss,9.836342453956604
1,kl_loss,22.61504054069519
1,kl_loss_0,1.405153027176857
1,kl_loss_1,5.5965677261352536
1,kl_loss_2,1.0470914468169212
1,kl_loss_3,2.1464573085308074
1,kl_loss_4,1.4499635189771651
1,kl_loss_5,1.0987022891640663
1,kl_loss_6,1.234105932712555
1,kl_loss_7,2.8884483516216277
1,kl_loss_8,4.835757881402969
1,kl_loss_9,0.9127931386232376
2,recon_loss,3742.1056064703525
2,loss,3550.8314240284453
2,mi_loss,55.391142918513374
2,tc_loss,-41.625679602989784
2,dw_kl_loss,6.300143498640794
2,kl_loss,20.071574333386543
2,kl_loss_0,1.4942446977664263
2,kl_loss_1,4.276382910899627
2,kl_loss_2,1.1351157610233014
2,kl_loss_3,2.1001170629110093
2,kl_loss_4,1.5557007392247517
2,kl_loss_5,1.2019875294122941
2,kl_loss_6,1.3692185695354755
2,kl_loss_7,2.49203417240045
2,kl_loss_8,3.5790915244664903
2,kl_loss_9,0.8676811747061901
3,recon_loss,3708.7188110351562
3,loss,3520.730224609375
3,mi_loss,55.43572473526001
3,tc_loss,-41.13713684082031
3,dw_kl_loss,4.929447412490845
3,kl_loss,19.212167978286743
3,kl_loss_0,1.4967798829078673
3,kl_loss_1,3.810502016544342
3,kl_loss_2,1.1596686750650407
3,kl_loss_3,2.085904687643051
3,kl_loss_4,1.6258596330881119
3,kl_loss_5,1.2261148750782014
3,kl_loss_6,1.4159667909145355
3,kl_loss_7,2.3850780189037324
3,kl_loss_8,3.198612833023071
3,kl_loss_9,0.8076803907752037
4,recon_loss,3733.041394042969
4,loss,3546.8368713378904
4,mi_loss,55.47935810089111
4,tc_loss,-40.87783298492432
4,dw_kl_loss,4.027043980360031
4,kl_loss,18.612976360321046
4,kl_loss_0,1.4878290563821792
4,kl_loss_1,3.5492525458335877
4,kl_loss_2,1.1649060517549514
4,kl_loss_3,2.102859193086624
4,kl_loss_4,1.6703742802143098
4,kl_loss_5,1.2197238773107528
4,kl_loss_6,1.3985082656145096
4,kl_loss_7,2.2795043349266053
4,kl_loss_8,2.9934535384178163
4,kl_loss_9,0.7465651705861092
